[2026-08-22 18:02:03] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated successfully | UA: Unknown
[2026-08-22 18:02:03] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt | UA: Unknown
[2026-08-22 18:02:08] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated successfully | UA: Unknown
[2026-08-22 18:02:08] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt | UA: Unknown
[2026-08-22 18:03:20] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated successfully | UA: Unknown
[2026-08-22 18:03:20] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt | UA: Unknown
[2026-08-22 18:05:03] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated successfully | UA: Unknown
[2026-08-22 18:05:03] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt | UA: Unknown
[2026-08-22 18:11:18] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated successfully | UA: Unknown
[2026-08-22 18:11:18] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt | UA: Unknown
[2026-08-22 18:18:54] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated successfully | UA: Unknown
[2026-08-22 18:18:54] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt | UA: Unknown
[2026-08-22 18:19:48] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated successfully | UA: Unknown
[2026-08-22 18:19:48] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt | UA: Unknown
[2026-08-22 18:22:02] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated successfully | UA: Unknown
[2026-08-22 18:22:02] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt | UA: Unknown
[2026-08-22 18:23:07] [SYNC_PREVIEW] IP: 127.0.0.1 | Audited 2 records: 2 clean, 0 skipped. | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-22 18:23:13] [EXECUTE_SYNC] IP: 127.0.0.1 | Successfully merged 2 records (0 rejected by quality audit). | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-22 18:25:09] [SYNC_PREVIEW] IP: 127.0.0.1 | Audited 2 records: 2 clean, 0 skipped. | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-22 18:25:14] [EXECUTE_SYNC] IP: 127.0.0.1 | Successfully merged 2 records (0 rejected by quality audit). | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-22 18:28:00] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated successfully | UA: Unknown
[2026-08-22 18:28:00] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt | UA: Unknown
[2026-08-22 18:35:16] [SYNC_PREVIEW] IP: 127.0.0.1 | Audited 2 records: 2 clean, 0 skipped. | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-22 18:35:17] [EXECUTE_SYNC] IP: 127.0.0.1 | Successfully merged 2 records (0 rejected by quality audit). | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-22 18:36:02] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated successfully | UA: Unknown
[2026-08-22 18:36:02] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt | UA: Unknown
[2026-08-22 18:40:39] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated successfully | UA: Unknown
[2026-08-22 18:40:39] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt | UA: Unknown
[2026-08-22 18:43:09] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt for user: admin | UA: Unknown
[2026-08-22 18:43:15] [ADMIN_PASSWORD_UPDATED] IP: 127.0.0.1 | Password updated for user: admin | UA: Unknown
[2026-08-22 18:43:17] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated: admin | UA: Unknown
[2026-08-22 18:43:17] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt for user: admin | UA: Unknown
[2026-08-22 18:45:37] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated: admin | UA: Unknown
[2026-08-22 18:45:37] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt for user: admin | UA: Unknown
[2026-08-22 18:47:09] [CSRF_MISMATCH_SYNC] IP: 127.0.0.1 | CSRF verification failed for action 'preview_sync'. | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-22 18:49:13] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated: admin | UA: Unknown
[2026-08-22 18:49:13] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt for user: admin | UA: Unknown
[2026-08-22 18:50:33] [SYNC_PREVIEW] IP: 127.0.0.1 | Audited 2 records: 2 clean, 0 skipped. | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-22 18:51:24] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated: admin | UA: Unknown
[2026-08-22 18:51:24] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt for user: admin | UA: Unknown
[2026-08-22 18:52:52] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated: admin | UA: Unknown
[2026-08-22 18:52:53] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt for user: admin | UA: Unknown
[2026-08-22 18:54:24] [SYNC_PREVIEW] IP: 127.0.0.1 | Audited 2 records: 2 clean, 0 skipped. | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-22 18:56:03] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated: admin | UA: Unknown
[2026-08-22 18:56:03] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt for user: admin | UA: Unknown
[2026-08-22 18:56:42] [SYNC_PREVIEW] IP: 127.0.0.1 | Audited 2 records: 2 clean, 0 skipped. | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-22 18:57:13] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated: admin | UA: Unknown
[2026-08-22 18:57:14] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt for user: admin | UA: Unknown
[2026-08-22 18:58:18] [SYNC_PREVIEW] IP: 127.0.0.1 | Audited 2 records: 2 clean, 0 skipped. | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-22 18:59:02] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated: admin | UA: Unknown
[2026-08-22 18:59:02] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt for user: admin | UA: Unknown
[2026-08-22 18:59:43] [SYNC_PREVIEW] IP: 127.0.0.1 | Audited 2 records: 2 clean, 0 skipped. | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-22 18:59:52] [SYNC_PREVIEW] IP: 127.0.0.1 | Audited 2 records: 2 clean, 0 skipped. | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-22 19:00:33] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated: admin | UA: Unknown
[2026-08-22 19:00:33] [FAILED_LOGIN_INVALID_PASSWORD] IP: 127.0.0.1 | Invalid password attempt for user: admin | UA: Unknown
[2026-08-22 19:01:10] [SYNC_PREVIEW] IP: 127.0.0.1 | Audited 2 records: 2 clean, 0 skipped. | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[2026-08-22 19:01:31] [SUCCESSFUL_LOGIN] IP: 127.0.0.1 | Admin authenticated: admin | UA: Unknown
